name,location,country
Silverstone Circuit,Silverstone,UK
Donington Park,Castle Donington,UK
Brands Hatch,Kent,UK
Aintree,Liverpool,UK
Yas Marina Circuit,Abu Dhabi,UAE
Indianapolis Motor Speedway,Indianapolis,USA
Phoenix street circuit,Phoenix,USA
Detroit Street Circuit,Detroit,USA
Fair Park,Dallas,USA
Long Beach,California,USA
Las Vegas Street Circuit,Nevada,USA
Watkins Glen,New York State,USA
Riverside International Raceway,California,USA
Sebring International Raceway,Florida,USA
Circuit of the Americas,Austin,USA
Miami International Autodrome,Miami,USA
Shanghai International Circuit,Shanghai,China
Buddh International Circuit,Uttar Pradesh,India
Autodromo Nazionale di Monza,Monza,Italy
Autodromo Enzo e Dino Ferrari,Imola,Italy
Pescara Circuit,Pescara,Italy
Autodromo Internazionale del Mugello,Mugello,Italy
Fuji Speedway,Oyama,Japan
Suzuka Circuit,Suzuka,Japan
Okayama International Circuit,Okayama,Japan
Korean International Circuit,Yeongam County,Korea
Losail International Circuit,Al Daayen,Qatar
Circuit de Barcelona-Catalunya,Montmeló,Spain
Valencia Street Circuit,Valencia,Spain
Circuito de Jerez,Jerez de la Frontera,Spain
Jarama,Madrid,Spain
Montjuïc,Barcelona,Spain
Circuit de Pedralbes,Barcelona,Spain
Autódromo José Carlos Pace,São Paulo,Brazil
Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
Circuit Gilles Villeneuve,Montreal,Canada
Mosport International Raceway,Ontario,Canada
Circuit Mont-Tremblant,Quebec,Canada
Circuit de Nevers Magny-Cours,Magny Cours,France
Circuit Paul Ricard,Le Castellet,France
Dijon-Prenois,Dijon,France
Charade Circuit,Clermont-Ferrand,France
Rouen-Les-Essarts,Rouen,France
Le Mans,Le Mans,France
Reims-Gueux,Reims,France
Autódromo Hermanos Rodríguez,Mexico City,Mexico
Circuit de Monaco,Monte-Carlo,Monaco
Sochi Autodrom,Sochi,Russia
Scandinavian Raceway,Anderstorp,Sweden
Istanbul Park,Istanbul,Turkey
Zeltweg,Styria,Austria
Red Bull Ring,Spielberg,Austria
Bahrain International Circuit,Sakhir,Bahrain
Circuit de Spa-Francorchamps,Spa,Belgium
Zolder,Heusden-Zolder,Belgium
Nivelles-Baulers,Brussels,Belgium
Hockenheimring,Hockenheim,Germany
Nürburgring,Nürburg,Germany
AVUS,Berlin,Germany
Hungaroring,Budapest,Hungary
Ain Diab,Casablanca,Morocco
Sepang International Circuit,Kuala Lumpur,Malaysia
Autódromo do Estoril,Estoril,Portugal
Circuito da Boavista,Oporto,Portugal
Monsanto Park Circuit,Lisbon,Portugal
Autódromo Internacional do Algarve,Portimão,Portugal
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
Albert Park Grand Prix Circuit,Melbourne,Australia
Adelaide Street Circuit,Adelaide,Australia
Marina Bay Street Circuit,Marina Bay,Singapore
Baku City Circuit,Baku,Azerbaijan
Circuit Park Zandvoort,Zandvoort,Netherlands
Circuit Bremgarten,Bern,Switzerland
Jeddah Corniche Circuit,Jeddah,Saudi Arabia
Kyalami,Midrand,South Africa
Prince George Circuit,Eastern Cape Province,South Africa
Las Vegas Strip Street Circuit,Las Vegas,United States
